City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tanout,14.97,8.89,94.03,30,45,16.67,NE,1595269118
Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595269118
Arraial do Cabo,-22.97,-42.03,80.31,69,0,13.87,BR,1595269008
Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595269004
Dikson,73.51,80.55,42.28,93,65,14.45,RU,1595269010
Ribeira Grande,38.52,-28.7,75.2,60,75,6.93,PT,1595269010
Laguna,38.42,-121.42,72.81,56,1,9.17,US,1595269124
Nikolskoye,59.7,30.79,70.84,64,20,4.47,RU,1595269125
Māndal,25.45,74.57,85.69,65,98,12.91,IN,1595269125
Taltal,-25.4,-70.48,64.53,58,100,3.58,CL,1595268839
Jamestown,42.1,-79.24,79.48,57,20,14.99,US,1595269126
Hermanus,-34.42,19.23,55.99,87,0,5.01,ZA,1595269127
Iqaluit,63.75,-68.51,45.34,100,90,3.36,CA,1595268835
Puerto Ayora,-0.74,-90.35,71.94,73,75,6.93,EC,1595269129
Qui Nhon,13.77,109.23,79.36,85,100,4.0,VN,1595269040
Carbonear,47.73,-53.21,78.33,100,100,5.01,CA,1595268903
Murmashi,68.82,32.81,71.6,64,58,4.47,RU,1595269129
Nuuk,64.18,-51.72,48.2,87,90,3.36,GL,1595269130
Barinas,8.62,-70.21,84.24,73,69,5.44,VE,1595269038
Busselton,-33.65,115.33,47.43,66,100,13.18,AU,1595269131
Chokurdakh,70.63,147.92,66.16,51,91,9.26,RU,1595269034
Cayenne,4.93,-52.33,86.0,70,77,3.36,GF,1595269133
Albany,42.6,-73.97,88.03,44,74,9.8,US,1595269134
Ruwi,23.6,58.55,89.6,66,98,2.24,OM,1595269135
Khāsh,28.22,61.22,79.72,15,0,11.36,IR,1595268864
Río Gallegos,-51.62,-69.22,32.0,82,20,2.24,AR,1595268992
Chui,-33.7,-53.46,69.78,79,93,8.52,UY,1595269137
Cape Town,-33.93,18.42,57.56,87,0,5.82,ZA,1595268912
Garachiné,8.06,-78.36,84.9,70,100,3.31,PA,1595269137
